station_id,station_name,provider,area,lat,lon,charger_type,power_kw,status,price_per_kwh,rating,amenities,cluster,density_zone,base_wait_min
BLR-001,Statiq — Koramangala 5th Block Hub,Statiq,Koramangala,12.938556,77.625662,DC Fast (CHAdeMO),50,Available,16.34,3.6,"Security Camera, Vending Machine, WiFi, Restroom",0,Medium,8
BLR-002,Statiq — Koramangala 5th Block Hub,Statiq,Koramangala,12.931401,77.622151,AC Level 2,22,Available,16.57,4.1,"WiFi, Vending Machine",0,Medium,10
BLR-003,Ather Grid — Koramangala 5th Block Hub,Ather Grid,Koramangala,12.936309,77.619057,DC Fast (CCS2),150,In Use,14.52,3.8,"Vending Machine, Café, Lounge, 24/7 Access",0,Medium,10
BLR-004,Tata Power EZ Charge — Koramangala 5th Block Hub,Tata Power EZ Charge,Koramangala,12.937411,77.623782,AC Level 2,22,Available,14.24,4.2,"Security Camera, 24/7 Access, Lounge, Restroom",0,Medium,12
BLR-005,ChargeZone — Koramangala 5th Block Hub,ChargeZone,Koramangala,12.940835,77.627802,DC Fast (CCS2),150,Available,14.82,4.8,"Lounge, Café, Restroom",0,Medium,5
BLR-006,JEEV — Indiranagar 100ft Road,JEEV,Indiranagar,12.982345,77.639081,DC Fast (CHAdeMO),50,Available,11.84,4.3,"Restroom, Parking",1,High,18
BLR-007,Tata Power EZ Charge — Indiranagar 100ft Road,Tata Power EZ Charge,Indiranagar,12.972569,77.637186,DC Fast (CCS2),150,Available,15.42,4.7,"Vending Machine, 24/7 Access, Café, Parking",1,High,12
BLR-008,Statiq — Indiranagar 100ft Road,Statiq,Indiranagar,12.97685,77.642826,AC Level 2,22,Available,17.0,4.4,"Parking, Restroom, Lounge",1,High,24
BLR-009,Ather Grid — Indiranagar 100ft Road,Ather Grid,Indiranagar,12.975232,77.637873,AC Level 2,7,In Use,13.1,4.6,"24/7 Access, WiFi, Security Camera",1,High,25
BLR-010,Statiq — Indiranagar 100ft Road,Statiq,Indiranagar,12.983291,77.637792,DC Fast (CHAdeMO),50,In Use,16.23,4.6,"WiFi, 24/7 Access, Parking, Restroom, Vending Machine",1,High,18
BLR-011,JEEV — Whitefield ITPL Main Gate,JEEV,Whitefield,12.969278,77.746621,AC Level 2,7,Available,12.25,4.8,"Vending Machine, Lounge, 24/7 Access, Café, WiFi",2,Low,2
BLR-012,Tata Power EZ Charge — Whitefield ITPL Main Gate,Tata Power EZ Charge,Whitefield,12.963806,77.748231,AC Level 2,7,In Use,14.61,3.7,"Security Camera, Parking, Restroom, Café",2,Low,7
BLR-013,Ather Grid — Whitefield ITPL Main Gate,Ather Grid,Whitefield,12.964579,77.747047,AC Level 2,7,Available,13.62,4.5,"Parking, Restroom, Security Camera, Café",2,Low,2
BLR-014,ChargeZone — Whitefield ITPL Main Gate,ChargeZone,Whitefield,12.967144,77.754899,DC Fast (CCS2),150,Available,12.72,3.7,"24/7 Access, WiFi, Lounge, Security Camera, Café",2,Low,0
